current_stem	target_stem	date	slug	confidence	notes
2026-05-26_aid_Adio_02	2026-05-26_anti_drone_platform_barashit_02	2026-05-26	anti_drone_platform_barashit	high	same visible title/frame as previous image
2026-05-26_aul	2026-05-26_humvee_vehicle_in_wadi_near_dibel	2026-05-26	humvee_vehicle_in_wadi_near_dibel	medium	title readable as enemy Hummer vehicle; location line partly unreadable
2026-05-26_communications_equipment_near_al_assi	2026-05-26_communications_equipment_at_al_assi	2026-05-26	communications_equipment_at_al_assi	high	title/location readable
2026-05-26_merkava_tank_near_rashaf	2026-05-26_merkava_tank_in_rashaf	2026-05-26	merkava_tank_in_rashaf	high	title/location readable
2026-05-27_0_aul_5	2026-05-27_enemy_vehicle_in_northern_settlement	2026-05-27	enemy_vehicle_in_northern_settlement	low	title says enemy vehicle; settlement name unreadable
2026-05-27_strike_near_jal_al_alam	2026-05-27_iron_technical_platform_at_jal_al_alam	2026-05-27	iron_technical_platform_at_jal_al_alam	medium	title readable; place inferred from filename/subtitle
2026-05-27_strike_on_merkava_tank	2026-05-27_merkava_tank_on_military_route	2026-05-27	merkava_tank_on_military_route	medium	title readable; detailed location too small
2026-05-28_strike_near_khiam	2026-05-28_iron_technical_platform_at_al_raheb	2026-05-28	iron_technical_platform_at_al_raheb	medium	title mostly readable; filename differs from visible place
2026-05-29_namer_apc_ainata	2026-05-29_namer_apc_in_ainata	2026-05-29	namer_apc_in_ainata	high	title/location readable
2026-05-29_soldier_misgav_am	2026-05-29_soldier_at_misgav_am	2026-05-29	soldier_at_misgav_am	high	title/location readable
2026-05-30_strike_on_merkava_tank	2026-05-30_merkava_tank_in_border_area	2026-05-30	merkava_tank_beaufort_castle	high	replaced with official @mmirleb public MP4 post 16968 after Itamar approved DUP-004 as duplicate with better quality; Arabic: دبّابة ميركافا تابعة لجيش العدو الإسرائيلي في محيط قلعة الشقيف جنوبيّ لبنان
2026-05-31_strike_on_humvee	2026-05-31_humvee_vehicle_at_al_assi	2026-05-31	humvee_vehicle_at_al_assi	medium	title readable; location appears al_assi but small
2026-05-31_strike_on_namer_apc	2026-05-31_namer_vehicle_and_apc_in_dibel	2026-05-31	namer_vehicle_and_apc_in_dibel	high	title/location readable
2026-05-31_strike_on_soldiers	2026-05-31_soldiers_gathering_near_border_site	2026-05-31	soldiers_gathering_near_border_site	low	title readable; location line unreadable
2026-06-01_merkava_tank_near_yahmor_al_shqif	2026-06-01_merkava_tank_near_yahmor_al_shqif	2026-06-01	merkava_tank_near_yahmor_al_shqif	high	title/location readable
2026-06-01_soldiers_near_yahmor	2026-06-01_soldiers_near_yahmor_al_shqif	2026-06-01	soldiers_near_yahmor_al_shqif	high	title/location readable
2026-06-01_soldiers_near_yahmor_02	2026-06-01_soldiers_near_yahmor_al_shqif_02	2026-06-01	soldiers_near_yahmor_al_shqif_02	high	duplicate-looking title card; kept _02 for uniqueness
2026-06-02_namer_apc_near_yahmor_al_shqif	2026-06-02_namer_vehicle_near_yahmor_al_shqif	2026-06-02	namer_vehicle_near_yahmor_al_shqif	high	title/location readable
2026-06-02_strike_on_merkava_tank	2026-06-02_merkava_tank_near_yahmor_al_shqif	2026-06-02	merkava_tank_near_yahmor_al_shqif	high	title/location readable
2026-06-02_strike_on_namer_apc	2026-06-02_soldiers_and_namer_vehicle_near_yahmor_al_shqif	2026-06-02	soldiers_and_namer_vehicle_near_yahmor_al_shqif	high	title/location readable
2026-06-02_targeting_israeli_soldiers_eastern_outskirts_zawtar_al_sharqiyah	2026-06-02_targeting_israeli_soldiers_eastern_outskirts_zawtar_al_sharqiyah	2026-06-02	targeting_israeli_soldiers_eastern_outskirts_zawtar_al_sharqiyah	high	visible title/location matches current filename
2026-06-03_humvee_zawtar_al_sharqiyah	2026-06-03_humvee_zawtar_al_sharqiyah	2026-06-03	humvee_zawtar_al_sharqiyah	high	visible title says military Humvee in Zawtar al-Sharqiyah
2026-06-03_m113_apc_beaufort_castle	2026-06-03_m113_apc_beaufort_castle	2026-06-03	m113_apc_beaufort_castle	medium	visible title says troop carrier near Beaufort Castle; M113 inferred from filename/visual
2026-06-03_merkava_tank_zawtar_al_sharqiyah	2026-06-03_merkava_tank_zawtar_al_sharqiyah	2026-06-03	merkava_tank_zawtar_al_sharqiyah	high	visible title says Merkava tank in Zawtar al-Sharqiyah
2026-06-04_strike_on_merkava_tank	2026-06-04_merkava_tank_beaufort_castle	2026-06-04	merkava_tank_beaufort_castle	high	visible title says Merkava tank near Beaufort Castle
2026-06-04_strike_on_merkava_tank_02	2026-06-04_merkava_tank_beaufort_castle_02	2026-06-04	merkava_tank_beaufort_castle_02	medium	visible title appears same as prior Merkava/Beaufort item; suffix kept to distinguish
2026-06-05_humvee_near_khiam	2026-06-05_humvee_near_khiam	2026-06-05	humvee_near_khiam	medium	visible text indicates Humvee near/at Khiam, mentions guided missiles
2026-06-06_merkava_tank_near_blat	2026-06-06_merkava_tank_blat_position	2026-06-06	merkava_tank_blat_position	high	visible title says Merkava tank at Blat position
2026-06-06_sholef_howitzer_adaissah	2026-06-06_sholef_howitzer_adaissah	2026-06-06	sholef_howitzer_adaissah	medium	visible title says artillery vehicle in Adaissah; Sholef inferred from filename/visual
2026-06-08_strike_near_yahmor_al_shqif	2026-06-08_strike_on_enemy_vehicles_near_yahmor_al_shqif	2026-06-08	strike_on_enemy_vehicles_near_yahmor_al_shqif	medium	visible title says enemy vehicles; location line partly hard to read, filename used for place
2026-06-08_strike_on_command_and_control_vehicle	2026-06-08_command_and_control_vehicle_beaufort_castle	2026-06-08	command_and_control_vehicle_beaufort_castle	high	visible title says command/control vehicle near Beaufort Castle area
2026-06-09_namer_apc_khiam	2026-06-09_namer_apc_metula_southern_outskirts_khiam	2026-06-09	namer_apc_metula_southern_outskirts_khiam	medium	visible title says Namer vehicle; location line appears Metula/southern Khiam area
2026-06-10_humvee_yahmar_al_shaqif	2026-06-10_humvee_yahmar_al_shaqif	2026-06-10	humvee_yahmar_al_shaqif	medium	visible title says military Humvee; exact location line hard to read, filename used
2026-06-10_merkava_tank_beaufort_castle	2026-06-10_merkava_tank_beaufort_castle	2026-06-10	merkava_tank_beaufort_castle	high	visible title says Merkava tank near Beaufort Castle
2026-06-11_merkava_tank_tayr_harfa_ababil_drone	2026-06-11_merkava_tank_tayr_harfa_ababil_drone	2026-06-11	merkava_tank_tayr_harfa_ababil_drone	medium	visible title says Merkava tank in Tayr Harfa; Ababil inferred from filename
2026-06-12_d9_armored_bulldozer_tayr_harfa_ababil_drone	2026-06-12_d9_armored_bulldozer_tayr_harfa_ababil_drone	2026-06-12	d9_armored_bulldozer_tayr_harfa_ababil_drone	medium	title card says D9 bulldozer near Tayr Harfa; Ababil inferred from filename
2026-06-12_merkava_tank_yahmor_al_shqif	2026-06-12_merkava_tank_yahmor_al_shqif	2026-06-12	merkava_tank_yahmor_al_shqif	high	visible title says Merkava tank at outskirts of Yahmor al-Shqif
2026-06-13_excavator_majdal_zoun	2026-06-13_excavator_majdal_zoun	2026-06-13	excavator_majdal_zoun	high	visible title says engineering machine/excavator near Majdal Zoun
XXXX-XX-XX_1_goal_1_31310_gral	2026-05-08_resistance_strikes_enemy_forces_kfar_kila	2026-05-08	resistance_strikes_enemy_forces_kfar_kila	medium	date corrected by Itamar: appears later in the video; visible first-frame title indicates strikes against enemy forces, location appears Kfar Kila
e4169610-f32a-4b8f-b0eb-e38646651cb4	2026-06-14_engineering_vehicle_arnoun_ababil_drone	2026-06-14	engineering_vehicle_arnoun_ababil_drone	high	visible Arabic title card says an Israeli army engineering vehicle was targeted on the outskirts of Arnoun in South Lebanon using an Ababil attack drone
telegram_mmirleb_15781	2026-04-24_d9_engineering_vehicle_between_taybeh_and_deir_siryan	2026-04-24	d9_engineering_vehicle_between_taybeh_and_deir_siryan	high	visible Arabic title card says 24-04-2026 D9 engineering vehicle on the road between Taybeh and Deir Siryan; official @mmirleb high-quality post 15781
telegram_mmirleb_16508	2026-05-21_engineering_vehicle_khallet_al_raj_deir_siryan	2026-05-21	engineering_vehicle_khallet_al_raj_deir_siryan	high	visible Arabic title card says 21-05-2026 engineering vehicle at Khallet al-Raj near Deir Siryan; official @mmirleb high-quality post 16508
telegram_mmirleb_17309	2026-06-07_soldiers_gathering_beaufort_castle	2026-06-07	soldiers_gathering_beaufort_castle	high	visible Arabic title card says 07-06-2026 soldiers gathering around Beaufort Castle; official @mmirleb high-quality post 17309
telegram_mmirleb_17355	2026-06-07_merkava_tank_beaufort_castle	2026-06-07	merkava_tank_beaufort_castle	high	visible Arabic title card says 07-06-2026 Merkava tank around Beaufort Castle; official @mmirleb high-quality post 17355
telegram_mmirleb_17416	2026-06-07_command_namer_vehicle_yahmor_al_shqif	2026-06-07	command_namer_vehicle_yahmor_al_shqif	high	visible Arabic title card says 07-06-2026 command Namer vehicle at Yahmor al-Shqif outskirts; official @mmirleb high-quality post 17416
telegram_mmirleb_17434_direct_17436	2026-06-13_logistics_position_bayyadah_mmirleb_17436	2026-06-13	logistics_position_bayyadah	medium	official @mmirleb low-quality direct MP4 post 17436 matched high-quality candidate post 17434 with score 1.00; Arabic: نقطة لوجستيّة تابعة لجيش العدو الإسرائيلي في بلدة البيّاضة جنوبيّ لبنان
telegram_mmirleb_17429_direct_17431	2026-06-08_soldiers_gathering_naqoura_mmirleb_17431	2026-06-08	soldiers_gathering_naqoura	medium	official @mmirleb low-quality direct MP4 post 17431 matched high-quality candidate post 17429 with score 1.00; Arabic: تجمّع لجنود جيش العدو الإسرائيلي في بلدة الناقورة جنوبيّ لبنان بمسيّرات انقضاضيّة
telegram_mmirleb_17504_direct_17506	2026-06-06_artillery_vehicle_adaissah_mmirleb_17506	2026-06-06	artillery_vehicle_adaissah	medium	official @mmirleb low-quality direct MP4 post 17506 matched high-quality candidate post 17504 with score 1.00; Arabic: آلية مدفعيّة تابعة لجيش العدو الإسرائيلي في بلدة العديسة جنوبيّ لبنان
telegram_mmirleb_17315_direct_17317	2026-06-05_soldiers_khiam_mmirleb_17317	2026-06-05	soldiers_khiam	medium	official @mmirleb low-quality direct MP4 post 17317 matched high-quality candidate post 17315 with score 1.00; Arabic: جنود جيش العدو الإسرائيلي في مدينة الخيام جنوبيّ لبنان
telegram_mmirleb_17447_direct_17449	2026-06-05_merkava_tank_beaufort_castle_mmirleb_17449	2026-06-05	merkava_tank_beaufort_castle	medium	official @mmirleb low-quality direct MP4 post 17449 matched high-quality candidate post 17447 with score 1.00; Arabic: دبّابة ميركافا تابعة لجيش العدو الإسرائيلي في محيط قلعة الشقيف التاريخيّة جنوبيّ لبنان
telegram_mmirleb_17060_direct_17062	2026-05-30_technical_equipment_rashaf_mmirleb_17062	2026-05-30	technical_equipment_rashaf	medium	official @mmirleb low-quality direct MP4 post 17062 matched high-quality candidate post 17060 with score 1.00; Arabic: تجهيزات فنيّة تابعة لجيش العدو الإسرائيلي في بلدة رشاف جنوبي لبنان
telegram_mmirleb_16993_direct_16995	2026-05-28_iron_dome_launcher_vehicle_khiam_mmirleb_16995	2026-05-28	iron_dome_launcher_vehicle_khiam	medium	official @mmirleb low-quality direct MP4 post 16995 matched high-quality candidate post 16993 with score 1.00; Arabic: آلية لانشر قبة حديديّة تابعة لجيش العدو الإسرائيلي في مدينة الخيام جنوبيّ لبنان
telegram_mmirleb_17154_direct_17156	2026-05-28_merkava_tank_zawtar_al_sharqiyah_mmirleb_17156	2026-05-28	merkava_tank_zawtar_al_sharqiyah	medium	official @mmirleb low-quality direct MP4 post 17156 matched high-quality candidate post 17154 with score 1.00; Arabic: دبّابة ميركافا تابعة لجيش العدو الإسرائيلي عند الأطراف الجنوبيّة لبلدة زوطر الشرقية جنوبيّ لبنان
telegram_mmirleb_16895_direct_16897	2026-05-27_target_galilee_forest_mmirleb_16897	2026-05-27	target_galilee_forest	medium	official @mmirleb low-quality direct MP4 post 16897 matched high-quality candidate post 16895 with score 1.00; Arabic: آلية تابعة لجيش العدو الإسرائيلي في معسكر غابات الجليل شمال فلسطين المحتلّة
telegram_mmirleb_17068_direct_17070	2026-05-26_humvee_zawtar_al_sharqiyah_riverbed_mmirleb_17070	2026-05-26	humvee_zawtar_al_sharqiyah_riverbed	medium	official @mmirleb low-quality direct MP4 post 17070 matched high-quality candidate post 17068 with score 1.00; Arabic: آلية هامر تابعة لجيش العدو الإسرائيلي عند مجرى النهر في محيط بلدة زوطر الشرقيّة جنوبيّ لبنان
telegram_mmirleb_17143_direct_17145	2026-05-26_d9_bulldozer_zawtar_al_sharqiyah_mmirleb_17145	2026-05-26	d9_bulldozer_zawtar_al_sharqiyah	medium	official @mmirleb low-quality direct MP4 post 17145 matched high-quality candidate post 17143 with score 1.00; Arabic: جرّافة (D9) تابعة لجيش العدو الإسرائيلي عند الأطراف الجنوبيّة الشرقيّة لبلدة زوطر الشرقية جنوبيّ لبنان
telegram_mmirleb_16823_direct_16825	2026-05-24_humvee_manara_mmirleb_16825	2026-05-24	humvee_manara	medium	official @mmirleb low-quality direct MP4 post 16825 matched high-quality candidate post 16823 with score 1.00; Arabic: آلية هامر قيادية تابعة لجيش العدو الإسرائيلي في في موقع المنارة على الحدود اللبنانية الجنوبية
telegram_mmirleb_16395_direct_16397	2026-05-19_iron_dome_platform_jal_al_alam_mmirleb_16397	2026-05-19	iron_dome_platform_jal_al_alam	medium	official @mmirleb low-quality direct MP4 post 16397 matched high-quality candidate post 16395 with score 1.00; Arabic: منصّة قبّة حديديّة تابعة لجيش العدو الإسرائيلي في موقع جل العلام على الحدود اللبنانيّة الجنوبيّة
telegram_mmirleb_16552_direct_16554	2026-05-19_communications_vehicle_taybeh_mmirleb_16554	2026-05-19	communications_vehicle_taybeh	medium	official @mmirleb low-quality direct MP4 post 16554 matched high-quality candidate post 16552 with score 1.00; Arabic: آلية اتصالات تابعة لجيش العدو الإسرائيلي في بلدة الطيبة جنوبيّ لبنان
telegram_mmirleb_16767_direct_16769	2026-05-19_engineering_vehicle_khiam_mmirleb_16769	2026-05-19	engineering_vehicle_khiam	medium	official @mmirleb low-quality direct MP4 post 16769 matched high-quality candidate post 16767 with score 1.00; Arabic: آلية هندسيّة تابعة لجيش العدو الإسرائيلي في مدينة الخيام جنوبيّ لبنان
telegram_mmirleb_16516_direct_16518	2026-05-18_brigade_300_commander_vehicle_shomera_mmirleb_16518	2026-05-18	brigade_300_commander_vehicle_shomera	medium	official @mmirleb low-quality direct MP4 post 16518 matched high-quality candidate post 16516 with score 1.00; Arabic: آلية قائد اللواء 300 التابع لجيش العدو الإسرائيلي داخل ثكنة شوميرا في مستوطنة شوميرا شمال فلسطين المحتلة
telegram_mmirleb_16558_direct_16560	2026-05-18_engineering_vehicle_deir_siryan_khallet_al_raj_mmirleb_16560	2026-05-18	engineering_vehicle_deir_siryan_khallet_al_raj	medium	official @mmirleb low-quality direct MP4 post 16560 matched high-quality candidate post 16558 with score 1.00; Arabic: آلية هندسيّة تابعة لجيش العدو الإسرائيلي عند خلة الراج في بلدة دير سريان جنوبيّ لبنان
telegram_mmirleb_16413_direct_16415	2026-05-17_logistics_position_bayyadah_iskandarounah_mmirleb_16415	2026-05-17	logistics_position_bayyadah_iskandarounah	medium	official @mmirleb low-quality direct MP4 post 16415 matched high-quality candidate post 16413 with score 1.00; Arabic: تموضع لوجستي تابع لجيش العدو الإسرائيلي في اسكندرونة ببلدة البيّاضة جنوبيّ لبنان
telegram_mmirleb_16443_direct_16445	2026-05-17_military_vehicle_bayyadah_iskandarounah_mmirleb_16445	2026-05-17	military_vehicle_bayyadah_iskandarounah	medium	official @mmirleb low-quality direct MP4 post 16445 matched high-quality candidate post 16443 with score 1.00; Arabic: آلية عسكرية تابعة لجيش العدو الإسرائيلي في اسكندرونة ببلدة البيّاضة جنوبيّ لبنان
telegram_mmirleb_16319_direct_16320	2026-05-16_engineering_vehicle_deir_siryan_khallet_al_raj_mmirleb_16320	2026-05-16	engineering_vehicle_deir_siryan_khallet_al_raj	medium	official @mmirleb low-quality direct MP4 post 16320 matched high-quality candidate post 16319 with score 1.00; Arabic: آلية هندسيّة تابعة لجيش العدو الإسرائيلي عند خلّة الراج في بلدة دير سريان جنوبيّ لبنان
telegram_mmirleb_16351_direct_16353	2026-05-16_merkava_tank_bayyadah_mmirleb_16353	2026-05-16	merkava_tank_bayyadah	medium	official @mmirleb low-quality direct MP4 post 16353 matched high-quality candidate post 16351 with score 1.00; Arabic: دبّابة ميركافا تابعة لجيش العدو الإسرائيلي في بلدة البيّاضة جنوبيّ لبنان
telegram_mmirleb_16531_direct_16533	2026-05-16_namer_vehicle_taybeh_mmirleb_16533	2026-05-16	namer_vehicle_taybeh	medium	official @mmirleb low-quality direct MP4 post 16533 matched high-quality candidate post 16531 with score 0.80; Arabic: آلية "نميرا" تابعة لجيش العدو الإسرائيلي في بلدة الطيبة جنوبيّ لبنان
